阶段,阶段序号,对标国际IP环节,专家类型,E编号,具体工作内容,知识维度,能力要求,当前状态,现有成员/Agent,缺口,拟增补方式,拟虚拟专家名,全网对标参考(角色型),蒸馏Agent名
零·IP地基,0,MTS Series Bible / Geronimo world bible,战略,E01,50卷愿景、三阶段难度、观察家范式定位,IP战略/竞品,10年系列弧设计,✅已有,总策划文档+用户,—,—,—,Random House series editor (MTS),academy-series-architect
零·IP地基,0,Encyclopedia Brown fair-play contract,推理,E02,七步观察法、红线条款入正典,推理范式,儿童公平谜题,✅已有,02_创作原则,—,—,—,Donald J. Sobol puzzle ethic,academy-engine
零·IP地基,0,放課後MC 科学ミステリー体裁,产品,E03,日本市场形态、章节节奏、科学锚点,日童书市场,竞品拆解,✅已有,产品风险分析_V1.0,—,—,—,学研・Gakken MC editorial,—
零·IP地基,0,Geronimo Stilton transmedia tone,品牌,E15,Hybrid Voice、禁用词、陆珣声线,品牌语调,跨卷一致性,🤖Agent,academy-voice-editor,文学主编人工签核,蒸馏+抽检,川村ひろみ,Scholastic Geronimo line editor,academy-voice-editor
策划,1,MTS outline per book + arc,策划,E05,卷任务包、Case Card、200篇资产映射,故事架构,卷级里程碑,🤖Agent,academy-series-architect,出版级选题会,虚拟专家,柏原智子,Mary Pope Osborne story meeting,academy-series-architect
策划,1,放課後MC 实验/线索索引,科学,E06,可复现实验、线索表、知识维度标签,小学科学,实验可教性,🤖Agent,academy-engine,校外科学顾问,待签,佐藤健一,NHK 科学番组监修,academy-expert-science-lab
策划,1,Encyclopedia Brown clue ledger,推理,E07,公平线索、误导、收束检查表,谜题设计,儿童可推理,✅已有,GateA清单+引擎,—,—,—,Classic kid detective editor,academy-engine
策划,1,Geronimo 角色圣经,角色,E08,十人团LOCK、年级班级、私服规则,角色Canon,跨卷人设,✅已有,01_角色设定 LOCK,插画人设监修,虚拟专家,田中美咲,Disney character bible lead,academy-expert-character-canon
策划,1,MTS Research Notes,资料,E09,日本校园季节/口语/气候素材调度,日校园文化,出处标注,🤖Agent,academy-research-editor,名古屋在地校对,蒸馏,田中みどり,japan_campus_consultant 原型,academy-research-editor
正典,2,MTS manuscript line edit,文学,E04,第三遍润色、删说明文、金句密度,日童文学,小学科学ミステリー语感,🤖Agent,academy-voice-editor,母语儿文签约编辑,👤待签,吉田文子,日本児童文学雑誌編集,academy-expert-jp-literary
正典,2,Geronimo humor pacing,叙事,E10,单篇张力弧、趣事尾钩、L1-L4,叙事工艺,章节钩子,🤖Agent,academy-engine,—,—,—,Stilton chapter rhythm editor,academy-engine
正典,2,放課後MC 科学表述审查,科学,E06,正文科学陈述与实验步骤一致,科学准确性,误用警告,⬜缺口,—,缺专职科学审校,虚拟专家优先,佐藤健一,Gakken 監修先生,academy-expert-science-lab
正典,2,Encyclopedia Brown red herring audit,推理,E11,稿内自检：线索可见性/年龄适配,质量门禁,清单化验收,🤖Agent,academy-engine §QC,第三方谜题审,虚拟专家,渡辺理,Mystery Writers kid division,academy-expert-mystery-qc
正典,2,MTS historical/cultural sensitivity,文化,E09,名古屋校园礼仪、误 stereotype 扫描,文化合规,儿童适宜,🤖Agent,academy-research-editor,日校教师顾问,蒸馏,田中みどり,School culture consultant JP,academy-research-editor
正典,2,Geronimo AI slop / humanizer pass,编辑,—,去AI腔、绘本体、说明文渗透,编辑工艺,Humanizer rubric,🤖Agent,ai-polish/humanizer skills,主编终检,—,—,Freelance copy editor (EN/JP),academy-voice-editor
Gate A,3,MTS pre-illustration story lock,门禁,E12,Vol1 Gate A：结构B、批次0-3条目冻结,阶段门禁,合并前检查,✅已有,Vol1_GateA映射_20260607,—,—,—,Scholastic gate checklist,—
Gate A,3,Geronimo art brief freeze,视觉,E13,SC prompt、角色一致、名古屋环境,视觉Canon,Plan B机制,🤖Agent,academy-visual-auditor,签约插画总监,虚拟专家,山本彩,Stilton art director,academy-visual-auditor
Gate A,3,放課後MC 読み物难度 band,阅读,E14,年级V1.0、汉字/假名、脚注规范E04 LOCK,阅读力学,7-12岁日语,✅已有,阅读力学标注规范_V1.1,日语母语试读,👤待签,小林由美,児童書レベル判定士,academy-expert-jp-readability
Gate A,3,Encyclopedia Brown answer key discipline,推理,E07,Gate A 谜题答案与教师侧一致,教学侧,不泄底,🤖Agent,Case Card,—,—,—,Teacher guide editor,academy-story-database
Gate A,3,MTS continuity database,资产,E16,200篇总表、卷状态、线索/实验索引,数据治理,Case Card SSOT,🤖Agent,academy-story-database,—,—,—,Series wiki keeper (MTS),academy-story-database
Gate B,4,Geronimo full layout spec,装帧,E17,PRODUCT-GATE：形态/分册/版式 LOCK,出版工艺,144-176p,✅已有,Vol1正式排版一页纸,印厂对接人,👤待签,鈴木版,Scholastic interior designer,academy-expert-book-design
